Date,value,volume,time,tuesday,wednesday,thursday,friday,month_cos_embed,month_sin_embed,day_cos_embed,day_sin_embed
2010-11-01,1.4273329973220825,6837000,87,0,0,0,0,0.5000000000000001,-0.8660254037844386,1.0,0.0
2010-11-02,1.4166669845581055,4837500,88,1,0,0,0,0.5000000000000001,-0.8660254037844386,0.9781476007338057,0.20791169081775931
2010-11-03,1.4513330459594727,5589000,89,0,1,0,0,0.5000000000000001,-0.8660254037844386,0.9135454576426009,0.40673664307580015
2010-11-04,1.659999966621399,28110000,90,0,0,1,0,0.5000000000000001,-0.8660254037844386,0.8090169943749475,0.5877852522924731
2010-11-05,1.6293330192565918,15165000,91,0,0,0,1,0.5000000000000001,-0.8660254037844386,0.6691306063588582,0.7431448254773941
2010-11-08,1.6653330326080322,7642500,92,0,0,0,0,0.5000000000000001,-0.8660254037844386,0.10452846326765346,0.9945218953682733
2010-11-09,1.6419999599456787,14346000,93,1,0,0,0,0.5000000000000001,-0.8660254037844386,-0.10452846326765333,0.9945218953682734
2010-11-10,1.957332968711853,45907500,94,0,1,0,0,0.5000000000000001,-0.8660254037844386,-0.30901699437494734,0.9510565162951536
2010-11-11,1.869333028793335,29179500,95,0,0,1,0,0.5000000000000001,-0.8660254037844386,-0.4999999999999998,0.8660254037844387
2010-11-12,1.9893330335617065,40936500,96,0,0,0,1,0.5000000000000001,-0.8660254037844386,-0.6691306063588579,0.7431448254773945
2010-11-15,2.053333044052124,39343500,97,0,0,0,0,0.5000000000000001,-0.8660254037844386,-0.9781476007338057,0.20791169081775931
2010-11-16,1.9780000448226929,20214000,98,1,0,0,0,0.5000000000000001,-0.8660254037844386,-1.0,5.66553889764798e-16
2010-11-17,1.965999960899353,11250000,99,0,1,0,0,0.5000000000000001,-0.8660254037844386,-0.9781476007338057,-0.20791169081775907
2010-11-18,1.9926669597625732,14341500,100,0,0,1,0,0.5000000000000001,-0.8660254037844386,-0.9135454576426009,-0.4067366430758002
2010-11-19,2.065999984741211,17257500,101,0,0,0,1,0.5000000000000001,-0.8660254037844386,-0.8090169943749476,-0.587785252292473
2010-11-22,2.2266669273376465,22945500,102,0,0,0,0,0.5000000000000001,-0.8660254037844386,-0.30901699437494756,-0.9510565162951535
2010-11-23,2.3046669960021973,23667000,103,1,0,0,0,0.5000000000000001,-0.8660254037844386,-0.10452846326765423,-0.9945218953682733
2010-11-24,2.3646669387817383,21375000,104,0,1,0,0,0.5000000000000001,-0.8660254037844386,0.10452846326765299,-0.9945218953682734
2010-11-26,2.3546669483184814,5259000,105,0,0,0,1,0.5000000000000001,-0.8660254037844386,0.5000000000000001,-0.8660254037844386
2010-11-29,2.2886669635772705,17184000,106,0,0,0,0,0.5000000000000001,-0.8660254037844386,0.913545457642601,-0.40673664307580015
2010-11-30,2.355333089828491,33339000,107,1,0,0,0,0.5000000000000001,-0.8660254037844386,0.9781476007338057,-0.20791169081775898
2010-12-01,2.2899999618530273,19488000,108,0,1,0,0,0.8660254037844384,-0.5000000000000004,1.0,0.0
2010-12-02,2.1566669940948486,30105000,109,0,0,1,0,0.8660254037844384,-0.5000000000000004,0.9795299412524945,0.20129852008866006
2010-12-03,2.0993330478668213,17401500,110,0,0,0,1,0.8660254037844384,-0.5000000000000004,0.9189578116202306,0.39435585511331855
2010-12-06,2.02066707611084,19116000,111,0,0,0,0,0.8660254037844384,-0.5000000000000004,0.5289640103269624,0.8486442574947509
2010-12-07,2.1040000915527344,19669500,112,1,0,0,0,0.8660254037844384,-0.5000000000000004,0.3473052528448203,0.9377521321470804
2010-12-08,2.1579999923706055,9900000,113,0,1,0,0,0.8660254037844384,-0.5000000000000004,0.1514277775045767,0.9884683243281114
2010-12-09,2.136667013168335,6090000,114,0,0,1,0,0.8660254037844384,-0.5000000000000004,-0.05064916883871264,0.9987165071710528
2010-12-10,2.101332902908325,6441000,115,0,0,0,1,0.8660254037844384,-0.5000000000000004,-0.2506525322587204,0.9680771188662043
2010-12-13,2.0366671085357666,6156000,116,0,0,0,0,0.8660254037844384,-0.5000000000000004,-0.7587581226927909,0.6513724827222223
2010-12-14,1.9019999504089355,26485500,117,1,0,0,0,0.8660254037844384,-0.5000000000000004,-0.8743466161445821,0.48530196253108104
2010-12-15,1.9733330011367798,11143500,118,0,1,0,0,0.8660254037844384,-0.5000000000000004,-0.9541392564000488,0.29936312297335804
2010-12-16,2.053999900817871,11851500,119,0,0,1,0,0.8660254037844384,-0.5000000000000004,-0.994869323391895,0.10116832198743272
2010-12-17,2.0906670093536377,12195000,120,0,0,0,1,0.8660254037844384,-0.5000000000000004,-0.9948693233918952,-0.10116832198743204
2010-12-20,2.113332986831665,7851000,121,0,0,0,0,0.8660254037844384,-0.5000000000000004,-0.7587581226927911,-0.651372482722222
